1,7,0.025000
15,1,0.081000
15,1,0.030000
1,1,0.030000
1,17,0.034000
1,12,0.013000
1,20,5.874000
1,5,0.028000
15,1,0.062000
15,1,0.013000
1,2,2.138000
15,1,0.022000
15,1,0.015000
15,1,0.028000
15,1,0.701000
15,1,0.028000
15,1,0.029000
15,1,0.028000
15,1,0.021000
15,1,0.020000
15,1,0.017000
15,1,0.020000
15,1,0.016000
15,1,0.035000
15,1,0.028000
15,1,0.023000
15,1,0.014000
15,1,0.013000
15,1,0.024000
15,1,0.015000
15,1,0.014000
15,1,0.017000
1,9,0.862000
2,15,0.199000
2,12,0.168000
6,1,0.029000
15,1,0.189000
6,1,0.029000
15,1,0.138000
11,3,0.042000
2,15,0.088000
2,12,0.017000
6,1,0.060000
6,1,0.028000
6,1,0.050000
6,1,0.023000
6,1,0.016000
6,1,0.015000
6,1,0.018000
6,1,0.017000
2,7,0.040000
15,1,2.716000
11,3,0.074000
11,7,0.098000
11,1,0.054000
11,4,0.051000
11,6,0.101000
11,6,0.242000
11,5,0.052000
12,1,0.024000
3,1,0.029000
2,2,0.038000
16,3,0.378000
9,1,0.067000
6,5,0.051000
16,1,0.223000
9,1,0.022000
3,1,0.064000
2,2,0.032000
6,4,0.040000
2,15,0.172000
3,1,0.047000
2,12,0.029000
6,1,0.031000
2,7,0.048000
6,4,0.029000
6,1,0.027000
6,4,0.035000
2,15,0.071000
3,1,0.066000
2,12,0.038000
6,1,0.044000
2,7,0.018000
6,4,0.069000
2,15,0.139000
3,1,0.043000
2,12,0.019000
6,1,0.044000
2,7,0.031000
6,5,0.121000
6,4,0.051000
2,15,0.078000
3,1,0.037000
2,12,0.017000
6,1,0.023000
2,7,0.031000
6,4,0.064000
2,15,0.268000
3,1,0.041000
2,12,0.020000
6,1,0.027000
2,7,0.247000
6,4,0.090000
2,15,0.149000
3,1,0.050000
2,12,0.023000
6,1,0.037000
2,7,0.022000
6,4,0.028000
3,1,0.065000
2,10,0.079000
2,10,0.027000
2,10,0.021000
3,1,0.021000
2,10,0.022000
2,10,0.019000
2,10,0.018000
3,1,0.017000
2,10,0.015000
2,10,0.014000
2,10,0.015000
3,1,0.016000
2,10,0.017000
2,10,0.017000
2,10,0.017000
3,1,0.016000
2,10,0.016000
2,10,0.016000
2,10,0.016000
3,1,0.016000
2,10,0.016000
2,10,0.016000
2,10,0.016000
3,1,0.017000
2,10,0.016000
2,10,0.016000
2,10,0.016000
3,1,0.016000
2,15,0.077000
2,10,0.021000
2,10,0.014000
2,10,0.013000
2,10,0.014000
2,10,0.014000
2,10,0.014000
2,10,0.015000
2,10,0.013000
2,12,0.080000
2,12,0.028000
2,15,0.092000
2,7,0.044000
2,14,0.038000
2,14,0.088000
9,2,0.084000
9,7,0.045000
9,1,0.096000
3,1,0.038000
2,10,0.029000
3,1,0.032000
